time,open,high,low,close,volume
2021-01-11 15:00:00,557.31,557.33,557.31,557.33,666
2021-01-11 14:59:00,557.24,557.39,556.75,556.75,591
2021-01-11 14:58:00,557.5,557.5,557.5,557.5,275
2021-01-11 14:57:00,557.32,557.32,557.32,557.32,855
2021-01-11 14:56:00,557.35,557.82,557.15,557.16,1770
2021-01-11 14:55:00,557.21,557.21,557.21,557.21,504
2021-01-11 14:54:00,556.74,556.74,556.655,556.655,426
2021-01-11 14:53:00,556.06,556.3857,556.06,556.3857,484
2021-01-11 14:52:00,556.37,556.51,555.53,556.21,4631
2021-01-11 14:51:00,556.61,556.61,556.38,556.38,1016
2021-01-11 14:49:00,556.65,557.33,556.65,557.33,613
2021-01-11 14:48:00,555.93,556.2,555.93,556.2,671
2021-01-11 14:47:00,555.7,555.8301,555.49,555.49,1001
2021-01-11 14:46:00,555.825,555.825,555.825,555.825,373
2021-01-11 14:45:00,555.89,555.89,555.85,555.85,501
2021-01-11 14:44:00,556.04,556.04,556.04,556.04,223
2021-01-11 14:43:00,555.73,555.73,555.73,555.73,133
2021-01-11 14:42:00,555.41,555.41,555.3001,555.3001,715
2021-01-11 14:40:00,554.98,555.25,554.98,555.25,467
2021-01-11 14:37:00,554.87,555.12,554.75,554.75,475
2021-01-11 14:36:00,555.1426,555.1426,555.1426,555.1426,639
2021-01-11 14:32:00,554.16,555.25,554.16,555.25,817
2021-01-11 14:31:00,553.46,553.82,553.46,553.82,990
2021-01-11 14:30:00,553.805,553.805,553.805,553.805,335
2021-01-11 14:29:00,553.84,553.84,553.84,553.84,279
2021-01-11 14:25:00,554.86,554.86,554.86,554.86,518
2021-01-11 14:24:00,554.17,554.17,554.13,554.13,894
2021-01-11 14:23:00,554.14,554.93,554.14,554.93,710
2021-01-11 14:21:00,555.045,555.045,555.045,555.045,277
2021-01-11 14:20:00,555.33,555.33,554.93,554.93,854
2021-01-11 14:19:00,555.24,555.465,555.21,555.38,553
2021-01-11 14:18:00,555.5,555.64,554.81,555.5,1237
2021-01-11 14:17:00,555.5,555.515,555.5,555.515,607
2021-01-11 14:14:00,554.8,554.8,554.76,554.76,307
2021-01-11 14:11:00,555.6399,555.6399,555.6399,555.6399,165
2021-01-11 14:10:00,555.48,555.48,555.31,555.36,762
2021-01-11 14:09:00,555.08,555.575,555.08,555.575,679
2021-01-11 14:08:00,554.84,554.84,554.82,554.82,347
2021-01-11 14:07:00,555.11,555.11,555.11,555.11,440
